label,num
约定如果逾期被告承担部分诉讼费,4
双方约定赔偿金,1
双方签订了担保合同,0
被告归还全部本金但拖欠利息,0
原告与被告是朋友/亲戚关系,0
被告对借款承担连带责任,126
担保人延长了担保期限,0
婚姻状况证明,19
被告承担原告的交通费,2
死亡证明,1
法院作出判决,1
交通费,0
庭审中明确利息,1
被告拖欠剩余借款,213
双方约定还款应提前通知,0
支付借款违约金,19
被告现今下落不明,11
庭审中明确连带责任,1
支付抵押,6
赔偿原告经济损失,2
被告仅偿还了部分利息,19
被告又出具借条,9
支付赔偿金,2
被告口头承诺还款,2
办理抵押登记手续,0
被告出具还款协议,6
双方未明确约定还款期限,1
被告未偿还利息,1
双方又约定逾期利息:,1
借款部分现金部分转账支付,1
双方未约定利息,51
被告出具借条,2346
被告仅偿还了利息,1
被告要求分期支付,0
约定如果逾期被告支付违约金,88
户籍证明,4
四被告系夫妻关系,2
被告仅偿还部分利息,5
履行逾期责任,4
原、被告系朋友关系,15
被告向原告家人借款,1
被告支付违约金,17
双方未约定借款期限,5
双方重新结算借款，被告重新出具借条,0
两被告是夫妻关系,660
双方约定还款方式,5
双方口头约定借款期限,75
双方约定担保期限,23
支付利息,2071
被告对债务进行担保,2
被告向原告外公借款,0
被借款人病故,1
约定如果逾期被告承担逾期利息/双方约定逾期利息,0
被告赔偿财产保全费,1
被告向原告借款,3643
支付逾期利息,384
被告依约向原告借款,0
被告拖欠剩余部分利息,0
原告对抵押的财产享有优先受偿权,0
原、被告已离婚,0
被告合计承担费用,9
被告向第三方借款,3
人口基本信息,1
被告承认还欠原告部分借款,4
被告间为继承关系,2
被告为此债务的担保人,294
被告逃避债务,0
原告主张欠款,3
原告为此债务的担保人,2
约定被告承担原告主张债权产生的相关费用,0
借款发生在四被告夫妻关系存续期间,2
被告向原告支付违约金/经济损失,0
被告谎称提供抵押,1
被告承担提供担保的义务,2
被告与原告签订抵押合同,2
借款现金支付,1
被告承担提供抵押的义务,1
被告拖欠借款及还款义务,2
抵押证明,6
被告因工程/业务对原告欠款,0
双方又签订借款协议,4
被告又未出具借条,1
双方未约定保证期间,0
赔偿车旅费,1
约定如果逾期被告承担原告的所有损失,0
抵押登记,1
被告偿还了部分利息,3
原告放弃对利息的诉讼请求,0
原告曾起诉后撤诉,0
原告催讨,1
被告再拖欠借款,2
原告撤回起诉,1
担保函证明,4
被告未支付其余利息,0
双方没有约定担保期限,0
被告还清借款和利息又向原告借款,0
被告支付了部分利息,155
实现债权所支付的费用,1
被告重新出具借条,5
债权转让,6
转账凭证,4
赔偿误工费,1
交易明细账,1
原告向被告贷款,1
被告实行规避法律行为,2
约定如果逾期被告承担诉讼费用/律师代理费用,0
双方约定部分借款的借款期限,1
火化证明,1
被告/第三人下落不明,0
原告出具借条,4
被告承诺自某期限起开始偿还债务,0
被告拖欠借款,2485
双方未约定还款期限,90
被告提供抵押,8
被告出具抵押物向原告借款,0
双方签订借款协议书,3
原被告双方确认结欠款,1
被告承担原告的律师费,10
两被告已离婚,25
原告放弃对部分被告请求,1
原告后撤诉,0
被告承担律师代理费,27
取款凭条,1
被告无力清偿,0
原告被告离婚,1
被告向原告还款,3268
无法联系证明,1
双方又约定还款方式,3
被告推脱,0
原告增加诉讼请求,1
被告未履行还款义务:,5
借款人已死亡，被告与借款人之间有继承与被继承关系,0
