label,line
双方约定借款抵押,并注明了用位于打铁关18幢1单元301室房产作为抵押
双方约定借款抵押,并注明了用位于打铁关18幢1单元301室房产证作为抵押
双方约定借款抵押,由被告提供名下坐落在瓯北镇浦西工业区的房产作实物抵押向温甲行百里支某某请借款，所得款项用于归还被告在原告处的借款
双方约定借款抵押,被告包××同时以其名下的坐落于柳市镇××号房屋为借款作抵押担保
双方约定借款抵押,被告郑××自愿以其所有的沪房地长字（2007）第001799号房屋提供抵押担保
双方约定借款抵押,被告奕乙将座落在崇寿镇健民村的一幢房地产为被告奕甲的借款提供担保，并办理了抵押公证
双方约定借款抵押,被告陈甲、许××以登记在被告陈甲名下坐落于瑞安市××中××村房屋（产权证号：0000124）为借款提供抵押担保，并办理了抵押手续
双方约定借款抵押,原、被告签订了最高额抵押借款合同
双方约定借款抵押,2008年5月16日，被告因资金紧张，以自己所有坐落在衢州市广场路58幢b座716室房屋作抵押
双方约定借款抵押,承诺到期不还，自愿将自己的房屋作抵押
双方约定借款抵押,抵押担保范围包括主债权、利息和实现抵押权的费用
支付利息,并支付利息（自起诉之日起按同期银行贷款利率计算至实际还款之日止）。
支付利息,并支付自2008年8月19日起按中国人民银行同期贷款利率计付利息；
支付利息,并从起诉之日计算至执行完毕的银行同期贷款利息损失；
支付利息,2、被告给付原告利息（自2008年8月5日起按月利率1.2%计算至实际付款之日止）。
支付利息,利息（按月利率10‰自2008年2月7日起计算至判决确定之日止）。
支付利息,并支付自2009年3月5日至还款时月息8厘息；
支付利息,支付自2009年3月5日至还款时月息8厘息；
支付利息,并支付利息（自起诉之日起按同期银行贷款利率计算至实际还款之日止）。
支付利息,利息3000元并
支付利息,并支付自2008年2月20日起至判决确定的履行之日止按月利率0.8%计算的利息。
支付利息,及利息（138846元按月利率12‰自2008年4月12日起计算，71154元自起诉之日按每日万分之二点一计算，均计至履行完毕之日止）。
支付利息,支付逾期付款的同期银行利息。
支付利息,2、被告按银行同期贷款利率标准支付自起诉之日起至归还之日止的利息；
支付利息,利息43200元。
支付利息,并支付约定利息。
支付利息,支付利息19800元（2008年9月20日起至2009年6月20日止9个月）。
支付利息,按银行同期贷款利率计算赔偿逾期付款利息
支付利息,支付利息16110元，总计人民币58110元；
支付利息,并支付利息（利息自2008年6月28日起按月利率2%计算至判决确定的履行之日止）
支付利息,支付利息9960元（按年息8.3%×60000×2），合计169960元，
支付利息,并支付同期银行贷款利息；
支付利息,以及利息24000元（从2006年10月5日到2009年2月5日按2000元每月计算），
支付利息,以及利息15120元（自2008年2月5日到2009年2月5日按借款本金以年利率6.3％的4倍计算）。
支付利息,和利息1500元，
支付利息,并支付相应利息。
支付利息,支付利息6720元（利息按月利率1%从1999年6月26日起至2009年6月25日止）。
支付利息,并支付利息（自2009年3月18日起按月利率3%计付至实际履行之日止）；
支付利息,及利息；
支付利息,并支付借款利息13000元（自2008年4月22日起按月利率2％计算至2009年5月21日止），合计63000元。
支付利息,逾期付款利息，
支付利息,支付利息8550元。
支付利息,及利息21600元（利息按月利率1％自2005年6月25日计算至2009年6月24日止），合计人民币66600元。
支付利息,及利息（自2009年6月15日起按同期银行贷款利率算至款清之日止）；
支付利息,2.判令被告支付利息30000元；
支付利息,2.判令被告支付利息54000元；
支付利息,并支付逾期还款利息损失840元（自2008年10月1日起，按日万分之二点一计算至2008的12月19日）；
支付利息,并支付利息3200元（利息按照月利率1%计算，从2006年7月11日起算至2009年3月11日止）。
支付利息,支付利息103333元（自2008年1月1日起至2009年1月12日止，按每月2%的利率计，其后按银行同期贷款利率计算），
支付利息,及利息（从2007年10月28日起以月息1%计算至实际履行之日止）。
支付利息,并按月利率2.5%自2007年9月2日起至付清之日止计算的利息。
支付利息,及其自2008年8月25日起至给付之日止按月利率2%计算的利息，
支付利息,并支付从2006年11月1日起按月利率0.8%计算至判决确定的还款之日止的利息。
支付利息,并支付利息3402元。（利息计算至2008年11月12日止，2008年11月13日起至款清之日的利息按日万分之二点一另行计算）。
支付利息,并按月息1.5％支付自2009年2月19日至实际清偿之日的利息；
支付利息,及利息160元（利息从2009年5月19日开始计算到2009年6月8日按一分半利息计算，以后利息另计），合计16160元。
支付利息,并赔偿利息损失（从起诉之日起按银行同期贷款利率计算至实际履行之日）。
支付利息,及利息238500元（自2005年1月1日起，按借款本金300000元计，算至2009年6月1日，以后另计至给付日止）。
支付利息,及其利息（从2008年2月15日起至判决确定还款之日止，按月利率1%计算）；
支付利息,并赔偿利息损失17554元。
支付利息,2.判令被告支付利息15000元；
支付利息,2.判令被告支付利息30000元；
支付利息,及支付自2004年2月1日起按银行同期贷款利息计算至款付清日止的利息。
支付利息,及利息（自2009年5月2日起按日利率万分之二点一算至款清之日止）；
支付利息,及逾期利息。（逾期利息按银行同期贷款利率从起诉之日起算至法院生效判决履行之日止）。
支付利息,并偿付逾期付款利息（按1分半计算）；
支付利息,支付利息8475元，总计人民币43475元；
支付利息,并支付自2009年3月4日起至判决生效之日止的利息（按欠款本金的每年5.4%计算），
支付利息,2.判令被告支付利息54000元；
支付利息,利息（利息按月息2分计算，2006年1月28日至2008年5月17日按20000元计算，2008年5月18日起按10000元计算）；
支付利息,利息86080元，合计人民币346080元（利息计算至2009年2月28日止，以后利息按月息1.2分计算至实际付清之日止）；
支付利息,及其利息10000元（从2007年6月1日起至2009年2月1日止，按月利率1%计算）；
支付利息,3、要求以上二被告支付60000元人民币的欠款利息，以月利2分计息，自还款期2006年12月20日开始计算至2008年12月19日共计欠息28800元。
支付利息,3、要求以上三被告支付40000元人民币的欠款利息，以月利2分计息，自还款期2006年12月23日开始计算至2008年12月22日共计欠息19200元。
支付利息,及其利息40000元（利息按300000×234天×0.056%计算）；
支付利息,支付利息4800元
支付利息,并支付利息6000元（从2008年11月10日算至2009年1月1日），以后利息另计。
支付利息,并偿付利息（以本金10万元从2008年11月10日起按中国人民银行规定的同期流动资金贷款基准利率的四倍算至2009年6月10日，此后以本金8万元从2009年6月11日起按中国人民银行规定的同期流动资金贷款基准利率的四倍算至实际付清之日止）。
支付利息,支付利息3000元，合计25500元；
支付利息,利随本清（利息从2008年11月1日起按月利率壹分利计算至借款归还日止）。
支付利息,利息从2008年10月29日起按月利率2%算至实际偿还之日止；
支付利息,并支付从2008年8月16日起至还清日止按月利率1.5%计算的利息。
支付利息,并支付逾期利息（逾期利息从2008年2月28日起按银行贷款利率计付至本金还清日止）；
支付利息,及利息，利息从2008年9月16日起算至实际偿还之日止，按中国人民银行同期贷款利率的4倍计算，
支付利息,及支付自起诉之日起至实际还款之日止按中国人民银行同期同类贷款利率计算的利息。
支付利息,并支付利息（从2008年6月10起计算至实际支付之日止按月利率15‰计）；
支付利息,及利息（其中30000元从2008年9月4日起按中国人民银行同期贷款基准利率的四倍计算至借款实际还清之日止；7200元从2009年2月16日开始按中国人民银行同期贷款基准利率的四倍计算至借款实际还清之日止）。
支付利息,及法律可以支持的利息
支付利息,支付利息84000元，从2009的6月24日起按月2%另行计付100000元的利息至付清款日止。
支付利息,并支付自2007年6月14日至2009年3月13日止计21个月按月利率1%计算的利息8400元。
支付利息,及利息损失（自2009年3月1日始按日万分之二点一计付至实际履行之日止）。
支付利息,并赔偿自2007年5月1日起至还款止日按同期银行贷款利率计算的利息损失。
支付利息,并支付该款自2004年12月31日起至支付之日的同期银行利息。
支付利息,并赔偿利息损失（从起诉之日起按银行同期贷款利息计算至实际履行之日）。
支付利息,并支付利息约8000元（按照中国人民银行规定的同期流动性资金贷款基准利率4倍计算，自2008年5月7日计算至判决确定给付之日止）。
支付利息,并按借条约定支付利息（利息暂算18240元）。
支付利息,并承担相应利息。
支付利息,及利息，
支付利息,及利息（自2008年9月12日起至实际还款之日止按月利率1％计算）。
支付利息,并支付自2009年5月9日起按月利率2%计算至实际履行之日止的利息。
支付利息,及同期银行贷款利息。
支付利息,赔偿利息损失3600元（利息从2008年3月25日起至2009年5月15日）；
支付利息,及利息7200元（暂算四个月），
支付利息,并从2007年3月15日起按2分利支付利息。
支付利息,并支付利息7152元，
支付利息,及利息（利息从2005年6月28日起按银行贷款利率计算至款还清日止），
支付利息,利息，利息从借款之日起按月利率30‰计算。
支付利息,并支付利息132000元（利息按月利率3%从2007年5月16日起计算到2009年3月16日止，以后按约另计），
支付利息,及利息2240元（算止2209年7月1日，以后另计），
支付利息,及利息。
支付利息,及利息损失，利息按约定的月利率3%计算，从2008年5月27日起计算至履行完毕之日止；
支付利息,及利息17186.87元，
支付利息,及利息（从2007年11月23日起按月利率3%计算至判决确定的履行之日止）；
支付利息,及利息损失，利息按约定的月利率3%计算，从2008年5月20日起计算随同借款本金某时某某；
支付利息,及利息（利息按银行同期同类贷款利率从起诉之日起算至实际归还之日止）。
支付利息,及利息10万元（从2007年12月26日按月利息2%计算至实际履行之日止）。
支付利息,及利息336000元（其中2005年1月至2008年4月30日期间的利息按月利率1％计算为24万元，2008年5月1日至2008年12月31日期间的利息按月利率2％计算为96000元）；
支付利息,及利息10640元，合计38640元，
支付利息,及利息；
支付利息,及利息（自借款之日起按中国人民银行同期贷款利率的四倍计算至借款到期之日止）。
支付利息,约定利息3000元、
支付利息,并按月利息2.5分支付利息。
支付利息,及月息2分计算的利息（自2007年6月27日起至判决确定的履行之日止）。
支付利息,被告支付给原告前期利息33770元。
支付利息,利息20000元。
支付利息,并支付约定利息至判决支付日止；
支付利息,及其利息（其中10000元的利息从2007年10月4日起；20000元的利息从2008年1月14日起，均按月利率10‰计算至款还清之日止）。
支付利息,并支付自2008年9月4日起至付清日止按银行同期同类贷款利率的4倍计算的利息
支付利息,及利息42万元（利息从2006年7月21日起按月利息2分利计付至实际履行之日止，暂算至起诉之日），
支付利息,并支付利息86800元（自2004年1月20日起至2009年3月30日按月利率2％计算，以后继续计算至其实际付清之日止）。
支付利息,及利息。
支付利息,并支付利息7933元；
支付利息,并支付利息（自2008年11月22日按月利率2%计算至实际偿付之日止）。
支付利息,支付利息1860元（计至2008年12月4日）
支付利息,支付利息72000元，
支付利息,并按银行贷款利率的四倍支付从借款之日起至款还清之日止的利息；
支付利息,及利息33600元（利息应算至判决确定之日止），
支付利息,并按约定支付利息
支付利息,并支付利息（其中5万元借款自2008年3月28日至实际归还之日按月利率2%计算；2万元借款自2008年9月29日至实际归还之日按月利率2%计算；3万元借款自2008年11月27日至实际归还之日按月利率2%计算）。
支付利息,并按月利率2.5%支付自2008年5月4日至还款之日止的利息（算至起诉之日为1.3万元）；
支付利息,利息14700元（按月利息2％计算自2007年6月15日至2009年3月15日止，以后利息继续算至还款之日止），
支付利息,并支付利息（利息自2009年1月25日起算，按月息1.5%计息至实际付清之日止），
支付利息,及其银行利息。
支付利息,支付借款的约定利息11，664元
支付利息,及利息，利息按人民银行同期贷款利息自起诉之日算至实际还款之日；
支付利息,并支付借款利息人民币40250元（计算至2009年5月15日）；
支付利息,并支付利息（按照月息1%，从2008年1月29日起算至被告实际付清之日止）。
支付利息,及支付自2007年12月18日至实际付款之日止按月利率2%计算的利息。
支付利息,及利息（从2009年3月25日起按照中国人民银行同期同类贷款利率计付至实际履行完毕之日止）。
支付利息,及利息（从借款之日按月息2%计算至实际归还之日止）。
支付利息,2、判令被告王灯礼支付自2008年11月30日起至判决执行完毕之日止按月利率2%计算的利息；
支付利息,利息40000元、
支付利息,并支付从2008年10月25日起至判决之日止月利率为1.5%的利息，计2400元。
支付利息,并支付利息7200元（利息从2007年5月30日起按1.5％已计算至2009年5月5日）并继续支付至实际还款之日止的利息。
支付利息,及利息（从2007年6月6日起按照月利率1.2％计付至实际履行完毕之日止）。
支付利息,及利息890元（利息已算至2009年3月23日，以后利息按银行同期同类贷款利率计付至实际履行之日止）。
支付利息,利息4846.8元（利息按日利率0.021%计算，暂算至起诉之日止，实际利息应算至被告还款之日）；
支付利息,支付利息19200元。
支付利息,利息4846.8元（利息按日利率0.021%计算，暂算至起诉之日止，实际利息应算至被告还款之日）；
支付利息,支付自2006年2月6日起至2009年3月5日止的利息1947.6元，
支付利息,及利息18000元、
支付利息,及相应利息（利息从2009年3月4日起按中国人民银行同期同类贷款利率的四倍计算至清偿之日止）。
支付利息,并支付利息8万元。
支付利息,利息20000元（按月利率2.5％计算自2008年8月25日至2009年4月25日止），
支付利息,并支付自起诉之日起至实际还款之日止按银行同期贷款利率计算的利息。
支付利息,及利息70万元左右（算至起诉之日）。
支付利息,并支付借款期间的约定利息
支付利息,并支付利息损失，利息从起诉之日算至实际偿还之日止，按中国人民银行同期贷款利率计算，
支付利息,及利息1960元；
支付利息,并支付2009年2月8日以后的利息。
支付利息,及利息3000元（利息按月利率0.5％从2006年12月22日暂算至起诉之日止计3000元，起诉之日至实际履行日的利息另算），
支付利息,及利息（利息自起诉之日起至付清之日止按中国人民银行同期贷款基准利率计算）。
支付利息,2、判令被告叶善美支付自2008年11月30日起至判决执行完毕之日止按月利率2%计算的利息；
支付利息,并支付利息，利息按19500元／月从借款之日起计算。
支付利息,及利息，利息按中国人民银行同期贷款基准利率从起诉之日起算至判决确定的履行之日止。
支付利息,及利息（利息自2007年5月1日起至偿付之日按银行同期贷款利率计算）。
支付利息,并支付利息1600元。
支付利息,按月息0.8%支付自借款之日起至实际还款之日止的利息。
支付利息,支付银行同期贷款利息（从2009年1月21日起至判决确认给付之日止）；
支付利息,及利息；
支付利息,及利息（从借款之日按月息2%计算至实际归还之日止）。
支付利息,并支付利息10800元（按年利率4.86%的4倍标准计算10个月，并减去已付的5400元）。
支付利息,及利息（按银行同期贷款利率自起诉之日算至实际归还之日）。
支付利息,及从2008年2月7日起按月利率20‰计算的利息，
支付利息,二、判令二被告支付借款利息37500元（从2009月13日计算至7月13日：7500元／月×5个月）。
支付利息,及相应利息（从2003年10月11日起至借款清偿之日止按月利率1.2％计算）。
支付利息,及利息（从2007年1月31日起按月利率1%计算至判决确定履行之日止）；2.被告偿还原告利息款48000元；
支付利息,并支付按月利率1.3%的利息。
支付利息,并支付自起诉日起按中国人民银行同期贷款利率计算的利息至归还日止。
支付利息,被告支付给原告2008年10月20日至2008年12月30日期间的利息5840元，此后的利息依法处理；
支付利息,并支付利息27000元（按月利率2%自2008年10月19日起算至2009年4月20日止，以后另计）；
支付利息,及利息27000元（从2007年12月16日至2009年3月15日，以后利息按约定另计），
支付利息,并支付利息（按银行同期贷款利率的四倍，从2008年8月26日开始计算至履行完毕之日止）。
支付利息,利息28800元（按月利率1%自2006年3月22日起暂算至2009年3月21日，以后另计）。
支付利息,2、被告支付2006年4月1日起至2009年6月15日已拖欠利息8085元及自2009年6月16日起至本金付清之日的利息（按月息0.6%计算）；
支付利息,赔偿利息3850元，
支付利息,2.被告支付利息18000元；
支付利息,及利息（自2009年4月30日起至借款归还之日止按中国人民银行同期贷款基准利率的四倍据实计算）；
支付利息,及利息（其中10万元从2007年10月15日起按照月利率3%计算，2万元自2008年2月3日起按照同期银行贷款利率计算）。
支付利息,并自借款之日起按银行同期贷款利率支付利息至款清之日止被告李艳玲承担连带清偿责任；
支付利息,2、被告支付2006年4月1日起至2009年6月15日已拖欠利息8085元
支付利息,并按约支付利息至实际付款之日止。
支付利息,二、判令被告支付从借款之日起至还款之日止按2%计算利息。
支付利息,2、被告支付利息722元；
支付利息,及利息169863元（按日万分之三）。
支付利息,及利息（2008年1月1日起算至实际付款日，按日万分之二点二计算，暂算至起诉日约41125.5元）
支付利息,被告支付借款利息574458元（按2007年8月10日银行短期贷款基准利率的四倍计付）。
支付利息,2、被告支付利息1770元；
支付利息,并支付按月利率1.5%的利息。
支付利息,并支付利息10000元。
支付利息,支付利息324000元（按人民银行基准贷款利率四倍从2008年8月16日起计算至2009年5月16日，以后继续计算到给付时止）；
支付利息,支付利息46800元（算至2009年3月20日止），
支付利息,要求判令二被告按中国人民银行关于同期贷款利率向原告支付自2008年9月12日起至给付日止的利息（注：截止2009年7月8日，利息为5970.68元）；
支付利息,并支付自2008年9月21日至实际履行日止的利息。
支付利息,并支付自2007年9月16日起至借款实际清偿日止按月利率1%计算的利息。
支付利息,及按月利率2%计算五个月的利息20000元。
支付利息,及利息14400元（利息按约定的壹分五厘计算，从2007年3月22日算至2009年3月21日，以后算至实际归还之日止），合计54400元。
支付利息,及支付50000元的利息（22000元利息从2007年10月31日起计付至2008年8月8日止；28000元利息从2007年10月31起计付至借款本金还清日止；利率均按中国人民银行同期贷款基准利率四倍计付）；
支付利息,并支付从2009年1月18日起至实际还清之日止按月利率20‰计算的利息（暂计1000元）。
支付利息,并支付该借款自起诉日起至付清日止按银行同期贷款利率计算的利息。
支付利息,及利息，
支付利息,并支付自2007年12月17日起至借款实际清偿日止按月利率1%计算的利息。
支付利息,1、被告郑秦明支付借款利息74100元（利息按月息3%计算），
支付利息,并按银行同期贷款利率支付利息至判决付清日止（其中3万元自2008年2月7日起算；10万元自2008年3月1日起算）。
支付利息,及利息14400元（利息按约定的壹分五厘计算，从2007年3月22日算至2009年3月21日，以后算至实际归还之日止），合计54400元。
支付利息,利息按月利率20‰计算。
支付利息,支付利息1410.3元，
支付利息,并支付利息（其中20000元的利息从2008年2月12日起至实际付款之日止按月利率0.8％计算）。
支付利息,并从借款之日起按每天100元计付利息至清偿之日。
支付利息,利息140800元，
支付利息,并自借款之日起按银行同期贷款利率支付利息至款清之日止被告李艳玲承担连带清偿责任；
支付利息,及利息。
支付利息,及自2009年1月2日算至2009年7月2日的利息9万元。
支付利息,及利息。
支付利息,及利息55500元（利息以本金50000元，按月利率3%计算从2006年3月18日起计算至2009年4月18日止，以后利息按月利率3%另行计算）；
支付利息,及其利息（利息自借款之日起按月利率3%计算至付清全部款项之日止），
支付利息,并支付利息12450元（利息按年利率7.47%的4倍计算至2008年12月16日，今后利息按每日83元计算至判决生效之日止）；
支付利息,并支付利息720元（6个月x3﹪）。
支付利息,并支付利息6000元（按银行同期贷款利率四倍计算）；
支付利息,并支付利息1890元。
支付利息,及利息（利息自2007年4月25日至实际履行日止按月利率2%计付，算至2009年4月25日的利息为768000元）；
支付利息,及相应的利息（利息从逾期付款之日起按月利率3%计算到款清日止）；
支付利息,并支付自2007年1月9日起至借款实际清偿日止按月利率0.8%计算的利息。
支付利息,及利息，利息按月利率1%自1993年7月1日起算至还款完毕之日止。
支付利息,利息22000元（利息自2008年8月29日起计算至2009年2月28日止，利率按月千分之五计算，自2009年2月29日起至判决生效之日止的利息仍按约支付）；
支付利息,并支付利息13500元（按银行同期贷款利率四倍计算）；
支付利息,及利息。
支付利息,并按月息1分支付利息。
支付利息,并支付利息（自2009年2月25日起按月利率1%计算至本案判决确定履行之日止）；
支付利息,及支付自起诉之日起至实际还款之日止按中国人民银行同期同类贷款利率计算的利息。
支付利息,支付自起诉之日起至实际还款之日止按中国人民银行同期同类贷款利率计算的利息。
支付利息,并自借款之日起按银行同期贷款利率支付利息至款清之日止
支付利息,利息（从2007年7月16日起按银行同期同类贷款利率四倍计付至实际履行日止）。
支付利息,按银行同期贷款利率支付从2009年2月24日起至判决履行日止的利息；
支付利息,利息（从起诉之日起按银行同期同类贷款利率计付至实际偿还之日止）。
支付利息,借条证明：原告要求利息按照借条上约定的，从1995年1月1日起按银行存款利率计付至实际归还之日止。
支付利息,利息按银行同期利率计算
支付利息,利息（自2008年11月26日起按银行同期贷款利率计算）。
支付利息,支付自起诉之日起至付清日止的银行同期贷款利息。
支付利息,利息从2007年6月4日起按月利率20‰计算至还清之日止
支付利息,利息（按月利率1%，从2009年1月21日开始计算至履行完毕之日止）。
支付利息,利息（从起诉之日起按照中国人民银行同期同类贷款利率计付至实际履行之日止）。
支付利息,利息（利息从2008年6月1日起按银行同期贷款利率的四倍计算至款还清日止），
支付利息,从起诉日起按银行同期贷款利率支付借款利息至实际归还日止；
支付利息,告赔偿原告利息人民币55650元（仅计算至2009年4月30日，要求计算至还清借款时止）
支付利息,利息（自2008年7月15日起按月利率1.5分计算）；
支付利息,借款利息从2008年12月2日起至借款履行日止按中国人民银行同期贷款利率计付。
支付利息,被告支付借款利息12000元（按月息2%计算到2009年3月16日），
支付利息,自2008年11月20日起按中国人民银行同期同类贷款利率四倍计付利息至实际履行之日止。
支付利息,利息10500元。
支付利息,支付利息1800元。
支付利息,利息（按月利率1%，从2009年1月21日开始计算至履行完毕之日止）。
支付利息,利息2万元（按每月利息4000元计算至2009年6月5日），
支付利息,2009年6月5日起至判决确定履行之日止按农村合某某行贷款利息的四倍计算的利息。
支付利息,利息7200元（按月息一分半计算自1999年4月26日至2007年2月26日为止）。
支付利息,支付2个月的利息1400元。
支付利息,利息（自2004年2月18日起按月利率1%计算至付清之日止）。
支付利息,被告立即支付利息1800元。
支付利息,赔偿利息损失（自起诉之日起以银行同期贷款利率计算至实际付款之日止）。
支付利息,利息（自2009年1月18日起按月率1%计算至判决确定履行之日止）；
支付利息,利息
支付利息,利息损失（自起诉之日起按银行同期贷款利率计算至实际履行之日止）
支付利息,利息（利息从借款到期之日起按同期银行贷款利率计至款还清之日止），
支付利息,赔偿利息损失（自原告主张某某之日起按同期银行贷款利率计算至实际还款之日止）。
支付利息,利息损失（从起诉之日起按中国人民银行同期贷款利率计付至实际履行之日止）。
支付利息,利息（算至起诉日的利息为19800元，之后的利息按月息2分计算至借款本金某行完毕时止）；
支付利息,利息（利息从2008年4月18日起按银行同期贷款利率计付至实际履行之日止）。
支付利息,利息按月利率20‰计付。
支付利息,利息。
支付利息,利息16366元，
支付利息,按约定从2007年12月17日起按月1.5％支付利息至借款清偿日止；
支付利息,两被告支付17个月的利息（即2008年3月29日起至2009年8月29日止）54400元。
支付利息,并支付从2009年1月27日起至判决生效之日止按月利率0.531%计的利息。
支付利息,利息（利息从2008年8月8日起按月利率20‰计算至款还清日止），
支付利息,利息（从起诉之日起按同期银行贷款利率计算至执行完毕之日止）。
支付利息,并支付从起诉之日起至判决确定履行之日止按中国人民银行同期贷款利率计付的利息。
支付利息,利息
支付利息,利息9855元（按2008年7月时的短期贷款利率年利6.57%计算）、
支付利息,利息（从起诉之日起按同期银行贷款利率计算至执行完毕之日止）。
支付利息,支付利息60000元（自2008年6月1日至2009年5月31日按月息2分计算），
支付利息,利息（从起诉之日起按中国人民银行同期同类贷款利率计付至履行之日止）。
支付利息,利息（从起诉之日起至实际履行之日止按银行同期同类贷款利率计付）。
支付利息,支付从2008年7月19日起按月利率30‰计算的利息（以400万元本金算至2009年1月24日，以后按200万元本金算至实际付清之日止）；
支付利息,赔偿利息损失1278元。
支付利息,赔偿利息损失885元（从2008年8月1日起算至2009年5月31日，按照年利率5.31%计算）。
支付利息,赔偿利息损失按银行同期贷款利率自2009年4月28日起计算至款清时止；
支付利息,自借款日起至借款付清日止按月息1%计算的利息，
支付利息,支付从起诉之日起按人民银行规定的金融机构贷款逾期利率计算至实际还款日止的利息；
支付利息,并从起诉之日起按同期贷款利率的四倍计付利息至清偿之日。
支付利息,支付该款自2008年9月6日起到判决确定履行日止的同期银行贷款利息；
支付利息,并支付自2008年10月7日起至判决确定履行日止的银行同期贷款利息。
支付利息,自2007年11月15日起至借款付清日止按月息1%计算的利息，
支付利息,支付该款自2008年9月6日起到判决确定履行日止的同期银行贷款利息；
支付利息,支付自2008年10月7日起至判决确定履行日止的银行同期贷款利息。
支付利息,支付利息79333元（计算至2008年12月30日，其后仍银行基准利率的四倍计算，）
支付利息,利息（从起诉之日起按银行同期同类贷款利率计付至实际偿还之日止）。
支付利息,利息（自起诉之日起按中国人民银行规定的同期贷款基准利率计算至付清之日止）。
支付利息,利息损失（自2005年2月28日始按月利率12‰计付至实际履行之日止）。
支付利息,利息（从起诉之日起按中国人民银行同期同类贷款利率计付至实际归还之日止）。
支付利息,并支付利息1300元，
支付利息,
支付利息,利息（从起诉之日起计算至欠款清偿之日止）。
支付利息,赔偿利息损失（从起诉之日起按中国人民银行同期贷款利率计算至判决确定偿还之日止）；
支付利息,利息（自2009年3月1日起至清偿之日止按月利率2%计算）。
支付利息,支付借款利息75686元，
支付利息,支付利息3900元。
支付利息,支付利息（按每月百分之二计付至实际付款之日止，现暂算至2009年4月30日止利息为18400元）。
支付利息,并从2008年8月11日开始以月息3%偿付利息至实际还款日。
支付利息,利息损失。
支付利息,并支付利息1000元。
支付利息,利息（利息从借款到期之日起按同期银行贷款利率计至款还清之日止），
支付利息,利息（按银行贷款利率从2009年5月11日起，计算至履行完毕之日止）；
支付利息,利息（利息从起诉日起按银行同期贷款利率计算至款还清日止），
支付利息,支付利息。
支付利息,利息
支付利息,并支付利息6080元（该利息按月息一分五计算，从2008年1月23日至2009年7月7日）；
支付利息,支付利息。
支付利息,利息2000元，
支付利息,利息，利息按银行同期贷款利率自起诉之日起算至判决书确定还款之日止；
支付利息,利息（按银行同期同类贷款利率自起诉日起计至履行完毕之日止）。
支付利息,利息13200元（利息按月息一分半从2007年9月2日起计算至2009年7月2日，以后利息按月息一分半计算至实际履行之日止）；
支付利息,利息5000元。
支付利息,利息82950元（利息暂计算至2009年2月11日，以后该每日万分之六计算至实际清偿日）；
支付利息,利息（按银行同期同类贷款利率从借款之日起计至返还完毕之日止）；
支付利息,利息（自起诉之日起到给付日按银行同期贷款利率计）
支付利息,支付利息33750元，
支付利息,自起诉之日（2009年1月12日）起按银行同期贷款利率计付利息。
支付利息,并支付利息（按月息3分从2007年7月24日起计算到归还之日止），
支付利息,并按银行同期贷款利率支付逾期利息30个月，
支付利息,利息（利息按月息1.5%计算，从借款之日起计算至偿还全部借款之日止，扣除被告已经支付的利息款332500元）；
支付利息,利息（利息从2007年9月21日起按中国人民银行同期贷款基准利率结算至借款实际还清之日止）；
支付利息,并从2009年1月1日起至实际还款之日按月息1.5分计算利息。
支付利息,支付借款期间内的利息人民币3286.85元（按年利率7.74%计算，从2007年12月14日计算至2008年1月13日）、
